City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Cabedelo,BR,2021-12-28 08:20:58,-6.9811,-34.8339,77.67,82,46,11.45,scattered clouds
1,Mecca,SA,2021-12-28 08:24:44,21.4267,39.8261,77.76,54,96,5.68,overcast clouds
2,Tasiilaq,GL,2021-12-28 08:18:31,65.6145,-37.6368,8.76,80,11,5.28,few clouds
3,New Norfolk,AU,2021-12-28 08:25:36,-42.7826,147.0587,69.91,42,1,5.48,clear sky
4,Kavieng,PG,2021-12-28 08:27:55,-2.5744,150.7967,83.59,72,60,4.74,broken clouds
5,Rikitea,PF,2021-12-28 08:25:37,-23.1203,-134.9692,75.38,86,100,22.3,light rain
6,Thompson,CA,2021-12-28 08:20:46,55.7435,-97.8558,-14.64,76,20,6.91,few clouds
7,Albany,US,2021-12-28 08:20:52,42.6001,-73.9662,34.66,90,100,4.59,overcast clouds
8,Isangel,VU,2021-12-28 08:25:38,-19.55,169.2667,81.93,79,100,1.74,overcast clouds
9,Shubarshi,KZ,2021-12-28 08:27:56,48.5872,57.1869,27.41,95,100,4.36,light snow
10,Alibag,IN,2021-12-28 08:25:39,18.6411,72.8792,84.27,51,4,8.08,clear sky
11,Iquique,CL,2021-12-28 08:27:56,-20.2208,-70.1431,69.84,78,23,3.87,few clouds
12,Busselton,AU,2021-12-28 08:27:57,-33.65,115.3333,103.08,31,7,15.99,clear sky
13,Gagra,GE,2021-12-28 08:25:39,43.3283,40.2239,52.72,74,83,2.95,broken clouds
14,Hithadhoo,MV,2021-12-28 08:25:40,-0.6,73.0833,82.02,73,40,11.88,scattered clouds
15,Pisco,PE,2021-12-28 08:25:40,-13.7,-76.2167,67.01,94,90,5.75,overcast clouds
16,Ixtapa,MX,2021-12-28 08:25:41,20.7,-105.2,70.23,91,0,2.39,clear sky
17,Thurso,GB,2021-12-28 08:25:41,58.5927,-3.5259,39.15,90,100,4.65,overcast clouds
18,Razdolnoye,RU,2021-12-28 08:25:42,43.55,131.9167,9.01,66,7,0.63,clear sky
19,Punta Arenas,CL,2021-12-28 08:25:42,-53.15,-70.9167,44.71,70,20,5.75,few clouds
20,Brighton,GB,2021-12-28 08:22:27,50.8284,-0.1395,51.31,87,20,15.01,few clouds
21,Assis,BR,2021-12-28 08:25:43,-22.6617,-50.4122,71.49,64,74,2.86,broken clouds
22,Margate,GB,2021-12-28 08:25:43,51.3813,1.3862,51.96,91,100,4.0,overcast clouds
23,Isiro,CD,2021-12-28 08:25:44,2.7739,27.616,78.91,70,77,2.8,light rain
24,Santa Catalina,PH,2021-12-28 08:25:44,9.3337,122.8637,82.42,74,58,12.66,light rain
25,Coihueco,CL,2021-12-28 08:21:55,-36.6167,-71.8333,57.94,88,4,3.44,clear sky
26,Kahului,US,2021-12-28 08:28:00,20.8947,-156.47,73.42,70,1,10.36,clear sky
27,Bubaque,GW,2021-12-28 08:25:45,11.2833,-15.8333,79.0,66,54,5.06,broken clouds
28,Avarua,CK,2021-12-28 08:24:41,-21.2078,-159.775,75.25,78,40,4.61,scattered clouds
29,Ushuaia,AR,2021-12-28 08:15:53,-54.8,-68.3,42.46,75,75,11.5,broken clouds
30,Kapaa,US,2021-12-28 08:22:35,22.0752,-159.319,75.52,75,20,3.0,light rain
31,Narok,KE,2021-12-28 08:23:42,-1.0783,35.8601,74.28,45,100,8.72,overcast clouds
32,Iqaluit,CA,2021-12-28 08:18:29,63.7506,-68.5145,13.73,85,90,2.3,overcast clouds
33,Jamestown,US,2021-12-28 08:25:58,42.097,-79.2353,38.17,65,75,8.99,broken clouds
34,Barrow,US,2021-12-28 08:24:09,71.2906,-156.7887,-18.38,76,1,6.91,clear sky
35,Upernavik,GL,2021-12-28 08:25:46,72.7868,-56.1549,-5.06,74,81,4.92,broken clouds
36,Castro,BR,2021-12-28 08:25:47,-24.7911,-50.0119,58.53,94,14,2.1,few clouds
37,Monrovia,LR,2021-12-28 08:25:47,6.3005,-10.7969,76.77,82,99,1.95,light rain
38,Mataura,NZ,2021-12-28 08:19:46,-46.1927,168.8643,54.48,90,29,4.97,scattered clouds
39,Puerto Ayora,EC,2021-12-28 08:28:02,-0.7393,-90.3518,68.47,84,68,6.64,broken clouds
40,Port Hedland,AU,2021-12-28 08:25:48,-20.3167,118.5667,107.65,12,18,19.57,few clouds
41,Bluff,NZ,2021-12-28 08:25:48,-46.6,168.3333,54.81,75,19,13.38,few clouds
42,Karpathos,GR,2021-12-28 08:25:49,35.507,27.2132,62.56,72,40,10.36,scattered clouds
43,Tiksi,RU,2021-12-28 08:28:03,71.6872,128.8694,-17.57,100,100,6.4,overcast clouds
44,Berlevag,NO,2021-12-28 08:25:49,70.8578,29.0864,24.75,54,40,5.75,scattered clouds
45,Terra Santa,BR,2021-12-28 08:25:50,-2.1042,-56.4869,73.67,98,100,1.66,overcast clouds
46,Tuktoyaktuk,CA,2021-12-28 08:28:04,69.4541,-133.0374,-14.37,94,100,18.7,overcast clouds
47,Hilo,US,2021-12-28 08:25:51,19.7297,-155.09,71.33,43,90,10.36,light rain
48,Lata,PT,2021-12-28 08:29:05,40.1629,-8.3327,59.81,95,98,5.19,overcast clouds
49,Olinda,BR,2021-12-28 08:29:06,-8.0089,-34.8553,80.33,74,40,5.75,scattered clouds
50,Bekhtery,UA,2021-12-28 08:29:06,46.251,32.2927,44.01,99,100,18.32,overcast clouds
51,Cayenne,GF,2021-12-28 08:29:07,4.9333,-52.3333,79.09,89,75,3.0,broken clouds
52,Mahanje,TZ,2021-12-28 08:29:07,-9.9333,35.3333,88.25,28,14,7.23,few clouds
53,Chapais,CA,2021-12-28 08:29:08,49.7834,-74.8492,-4.22,89,100,5.39,overcast clouds
54,Rio Cuarto,AR,2021-12-28 08:29:08,-33.1307,-64.3499,78.67,40,100,8.43,overcast clouds
55,Lebu,CL,2021-12-28 08:29:09,-37.6167,-73.65,56.08,94,100,13.27,overcast clouds
56,Dikson,RU,2021-12-28 08:29:09,73.5069,80.5464,-8.25,91,46,9.48,scattered clouds
57,Marienburg,PL,2021-12-28 08:29:09,54.0359,19.0266,20.84,86,24,14.03,few clouds
58,Zorgo,BF,2021-12-28 08:29:10,12.2489,-0.6158,71.73,14,100,12.86,overcast clouds
59,Mvuma,ZW,2021-12-28 08:29:10,-19.2792,30.5283,85.03,29,15,10.74,few clouds
60,Nome,US,2021-12-28 08:26:25,64.5011,-165.4064,23.07,86,90,9.22,light snow
61,Avera,US,2021-12-28 08:29:11,33.194,-82.5271,66.07,81,100,5.35,overcast clouds
62,Lazaro Cardenas,MX,2021-12-28 08:29:11,17.9583,-102.2,71.47,87,26,4.74,scattered clouds
63,Santiago Del Estero,AR,2021-12-28 08:29:12,-27.7951,-64.2615,77.52,32,91,4.12,overcast clouds
64,Hasaki,JP,2021-12-28 08:29:12,35.7333,140.8333,43.02,32,0,10.2,clear sky
65,Sao Felix Do Xingu,BR,2021-12-28 08:29:13,-6.6447,-51.995,70.09,99,100,0.43,overcast clouds
66,Asau,RO,2021-12-28 08:29:13,46.4333,26.4,27.95,93,98,0.83,overcast clouds
67,Quelimane,MZ,2021-12-28 08:29:13,-17.8786,36.8883,93.15,66,0,8.05,clear sky
68,Bukama,CD,2021-12-28 08:29:14,-9.2,25.85,80.17,67,33,5.23,scattered clouds
69,Havre-Saint-Pierre,CA,2021-12-28 08:29:15,50.2334,-63.5986,30.2,80,90,9.22,overcast clouds
70,Kloulklubed,PW,2021-12-28 08:29:15,7.0419,134.2556,82.9,79,100,19.71,overcast clouds
71,Codrington,AU,2021-12-28 08:19:50,-38.2667,141.9667,62.33,61,8,17.4,clear sky
72,Henties Bay,NA,2021-12-28 08:29:16,-22.116,14.2845,64.85,66,14,5.77,few clouds
73,Qinhuangdao,CN,2021-12-28 08:29:16,39.9317,119.5883,34.47,34,0,11.77,clear sky
74,Moctezuma,MX,2021-12-28 08:29:17,29.8,-109.6667,56.46,44,50,4.68,scattered clouds
75,Lujan,AR,2021-12-28 08:29:17,-34.5703,-59.105,76.75,67,13,1.01,few clouds
76,Port Elizabeth,ZA,2021-12-28 08:29:18,-33.918,25.5701,75.09,68,20,17.27,few clouds
77,Atambua,ID,2021-12-28 08:29:18,-9.1061,124.8925,80.02,73,100,6.13,overcast clouds
78,Mahebourg,MU,2021-12-28 08:29:18,-20.4081,57.7,84.49,70,40,8.05,scattered clouds
79,Saint-Philippe,RE,2021-12-28 08:19:35,-21.3585,55.7679,84.22,77,30,11.21,scattered clouds
80,Long Xuyen,VN,2021-12-28 08:29:19,10.3833,105.4167,84.15,65,88,7.23,overcast clouds
81,Port Alfred,ZA,2021-12-28 08:29:19,-33.5906,26.891,72.12,64,18,20.67,few clouds
82,Tessalit,ML,2021-12-28 08:29:20,20.1986,1.0114,65.1,19,15,8.7,few clouds
83,Saldanha,ZA,2021-12-28 08:29:21,-33.0117,17.9442,69.85,73,1,7.07,clear sky
84,Cape Town,ZA,2021-12-28 08:24:30,-33.9258,18.4232,71.11,75,40,1.99,light rain
85,East London,ZA,2021-12-28 08:29:21,-33.0153,27.9116,68.94,83,20,20.71,few clouds
86,Vaini,TO,2021-12-28 08:29:22,-21.2,-175.2,77.16,100,20,2.3,volcanic ash
87,Dunedin,NZ,2021-12-28 08:29:22,-45.8742,170.5036,52.81,78,23,1.01,few clouds
88,Tadine,NC,2021-12-28 08:29:22,-21.55,167.8833,79.86,84,96,5.41,overcast clouds
89,Souillac,MU,2021-12-28 08:19:42,-20.5167,57.5167,85.35,70,40,8.05,scattered clouds
90,Trimbak,IN,2021-12-28 08:29:23,19.9333,73.55,77.45,32,65,8.23,broken clouds
91,Yellowknife,CA,2021-12-28 08:29:23,62.456,-114.3525,-27.58,80,75,9.22,broken clouds
92,Nyagan,RU,2021-12-28 08:30:24,62.1406,65.3936,-1.57,94,99,6.58,overcast clouds
93,Padang,ID,2021-12-28 08:29:54,-0.9492,100.3543,86.05,78,100,1.81,overcast clouds
94,Meulaboh,ID,2021-12-28 08:30:24,4.1363,96.1285,83.79,71,64,6.44,broken clouds
95,Narsaq,GL,2021-12-28 08:30:25,60.9167,-46.05,21.42,56,2,7.2,clear sky
96,Bredasdorp,ZA,2021-12-28 08:30:25,-34.5322,20.0403,72.72,49,85,14.97,light rain
97,Mnogovershinnyy,RU,2021-12-28 08:30:26,53.9353,139.9242,-26.12,95,19,4.09,few clouds
98,Bethel,US,2021-12-28 08:30:26,41.3712,-73.414,37.65,90,90,0.0,mist
99,Kodiak,US,2021-12-28 08:30:27,57.79,-152.4072,40.48,85,67,6.91,broken clouds
100,Provideniya,RU,2021-12-28 08:30:27,64.3833,-173.3,4.48,93,92,13.89,overcast clouds
101,Zheleznodorozhnyy,RU,2021-12-28 08:30:28,55.7503,38.0042,19.92,97,99,3.62,overcast clouds
102,Punta Alta,AR,2021-12-28 08:30:13,-38.8759,-62.0736,69.58,68,0,3.22,clear sky
103,Phitsanulok,TH,2021-12-28 08:30:29,16.9167,100.5,82.51,43,4,4.0,clear sky
104,Camacha,PT,2021-12-28 08:30:29,33.0833,-16.3333,63.82,77,75,8.05,broken clouds
105,Hambantota,LK,2021-12-28 08:21:02,6.1241,81.1185,85.41,56,76,16.11,broken clouds
106,Longyearbyen,SJ,2021-12-28 08:30:30,78.2186,15.6401,4.84,78,0,13.8,clear sky
107,Svetlogorsk,BY,2021-12-28 08:30:30,52.6333,29.7333,18.0,75,83,7.2,broken clouds
108,Kedrovyy,RU,2021-12-28 08:30:31,56.1667,91.8167,7.21,95,100,4.07,overcast clouds
109,Bahia Blanca,AR,2021-12-28 08:30:08,-38.7196,-62.2724,68.99,65,0,3.31,clear sky
110,Tura,IN,2021-12-28 08:30:31,25.5198,90.2201,72.48,34,100,2.33,overcast clouds
111,Qaanaaq,GL,2021-12-28 08:30:32,77.484,-69.3632,-3.59,55,97,7.56,overcast clouds
112,Aykhal,RU,2021-12-28 08:30:32,66.0,111.5,-22.47,100,78,8.48,broken clouds
113,Nasice,HR,2021-12-28 08:30:32,45.4886,18.0878,33.55,98,100,5.32,overcast clouds
114,Wahiawa,US,2021-12-28 08:30:33,21.5028,-158.0236,71.92,75,99,12.84,overcast clouds
115,Rawson,AR,2021-12-28 08:30:33,-43.3002,-65.1023,68.09,36,0,12.03,clear sky
116,Carnarvon,AU,2021-12-28 08:30:34,-24.8667,113.6333,96.87,32,79,18.41,broken clouds
117,Alta Floresta,BR,2021-12-28 08:30:34,-9.8756,-56.0861,69.91,99,100,2.46,overcast clouds
118,Paamiut,GL,2021-12-28 08:30:35,61.994,-49.6678,16.65,66,3,8.72,clear sky
119,Itarema,BR,2021-12-28 08:30:35,-2.9248,-39.9167,78.64,81,19,10.63,few clouds
120,Hermanus,ZA,2021-12-28 08:30:36,-34.4187,19.2345,69.8,73,79,6.93,broken clouds
121,Katsuura,JP,2021-12-28 08:30:36,35.1333,140.3,46.51,40,2,1.72,clear sky
122,Trairi,BR,2021-12-28 08:25:52,-3.2778,-39.2689,78.17,82,71,8.19,broken clouds
123,Talnakh,RU,2021-12-28 08:30:37,69.4865,88.3972,6.21,85,10,10.25,clear sky
124,Poltava,UA,2021-12-28 08:30:37,49.5937,34.5407,18.95,84,100,16.73,light snow
125,Khash,IR,2021-12-28 08:30:37,28.2211,61.2158,56.88,18,0,4.65,clear sky
126,Lagoa,PT,2021-12-28 08:30:38,39.05,-27.9833,63.18,89,100,30.6,overcast clouds
127,Salinopolis,BR,2021-12-28 08:30:38,-0.6136,-47.3561,78.57,85,39,9.73,scattered clouds
128,Doka,SD,2021-12-28 08:30:39,13.5167,35.7667,86.56,38,38,8.59,scattered clouds
129,Balkhash,KZ,2021-12-28 08:30:39,46.844,74.9804,14.61,85,90,13.42,overcast clouds
130,Umba,RU,2021-12-28 08:30:40,66.6871,34.3429,0.59,98,80,4.92,broken clouds
131,Sorland,NO,2021-12-28 08:30:40,67.667,12.6934,35.46,68,100,14.47,overcast clouds
132,Bilma,NE,2021-12-28 08:30:41,18.6853,12.9164,67.33,19,0,17.13,clear sky
133,Buraydah,SA,2021-12-28 08:30:42,26.326,43.975,57.65,34,64,11.74,broken clouds
134,Manggar,ID,2021-12-28 08:30:42,-2.8833,108.2667,83.82,70,100,9.24,overcast clouds
135,Waddan,LY,2021-12-28 08:30:43,29.1614,16.139,64.47,30,5,9.84,clear sky
136,Ilulissat,GL,2021-12-28 08:31:43,69.2167,-51.1,15.82,48,84,3.44,broken clouds
137,Port Lincoln,AU,2021-12-28 08:31:43,-34.7333,135.8667,64.44,70,0,18.99,clear sky
138,Esperance,AU,2021-12-28 08:31:44,-33.8667,121.9,76.84,60,0,24.61,clear sky
139,Isla Mujeres,MX,2021-12-28 08:31:44,21.2311,-86.731,77.16,68,0,11.99,clear sky
140,Marsa Matruh,EG,2021-12-28 08:31:45,31.3525,27.2453,61.0,55,40,12.66,scattered clouds
141,Angoche,MZ,2021-12-28 08:31:45,-16.2325,39.9086,91.56,55,100,11.3,overcast clouds
142,Shimoda,JP,2021-12-28 08:31:46,34.6667,138.95,45.45,69,58,6.31,broken clouds
143,Vung Tau,VN,2021-12-28 08:31:46,10.346,107.0843,81.32,76,87,19.37,overcast clouds
144,Alexandria,EG,2021-12-28 08:31:47,31.2156,29.9553,64.94,67,40,10.36,scattered clouds
145,Bowen,AU,2021-12-28 08:31:47,-20.0167,148.2333,80.82,75,99,11.63,moderate rain
146,Nishihara,JP,2021-12-28 08:31:47,26.1842,127.7558,66.25,61,75,5.75,broken clouds
147,Faya,SA,2021-12-28 08:31:48,18.3851,42.4509,66.72,37,3,10.94,clear sky
148,Komsomolskiy,UZ,2021-12-28 08:31:48,40.4272,71.7189,38.12,65,20,6.91,few clouds
149,Pedernales,DO,2021-12-28 08:31:49,18.0384,-71.744,75.15,66,17,4.36,few clouds
150,Sao Filipe,CV,2021-12-28 08:31:49,14.8961,-24.4956,75.43,63,21,9.98,few clouds
151,Mount Gambier,AU,2021-12-28 08:31:39,-37.8333,140.7667,66.11,59,0,20.71,clear sky
152,Petropavlovsk-Kamchatskiy,RU,2021-12-28 08:31:50,53.0452,158.6483,19.99,79,40,4.47,scattered clouds
153,Chokurdakh,RU,2021-12-28 08:31:50,70.6333,147.9167,-43.98,100,66,2.68,broken clouds
154,Kirakira,SB,2021-12-28 08:31:51,-10.4544,161.9205,80.96,86,100,7.83,overcast clouds
155,Alice Springs,AU,2021-12-28 08:31:51,-23.7,133.8833,92.75,9,0,13.8,clear sky
156,Georgetown,MY,2021-12-28 08:30:15,5.4112,100.3354,89.55,67,40,10.0,scattered clouds
157,Atuona,PF,2021-12-28 08:31:52,-9.8,-139.0333,78.75,74,76,17.07,broken clouds
158,Alofi,NU,2021-12-28 08:31:52,-19.0595,-169.9187,73.29,94,80,1.14,light rain
159,Fairbanks,US,2021-12-28 08:30:00,64.8378,-147.7164,16.25,84,90,0.0,overcast clouds
160,Axim,GH,2021-12-28 08:31:53,4.8699,-2.2405,83.66,70,64,2.71,broken clouds
161,Ghanzi,BW,2021-12-28 08:31:53,-21.5667,21.7833,85.91,10,25,5.46,scattered clouds
162,Butaritari,KI,2021-12-28 08:31:54,3.0707,172.7902,82.17,76,98,8.1,overcast clouds
163,Touros,BR,2021-12-28 08:31:54,-5.1989,-35.4608,77.9,77,79,11.14,broken clouds
164,Camana,PE,2021-12-28 08:31:55,-16.6228,-72.7111,69.39,89,96,7.23,overcast clouds
165,Antalaha,MG,2021-12-28 08:31:56,-14.9003,50.2788,85.01,59,53,9.19,broken clouds
166,Ola,RU,2021-12-28 08:31:56,59.5833,151.2833,-6.72,79,100,16.6,overcast clouds
167,Thunder Bay,CA,2021-12-28 08:30:26,48.4001,-89.3168,15.3,82,90,5.75,overcast clouds
168,Constitucion,CL,2021-12-28 08:27:59,-35.3333,-72.4167,57.92,86,54,6.13,broken clouds
169,Naze,JP,2021-12-28 08:31:57,28.3667,129.4833,56.32,59,90,5.77,overcast clouds
170,Sao Miguel Do Araguaia,BR,2021-12-28 08:31:57,-13.275,-50.1628,69.98,97,57,7.16,broken clouds
171,Mayumba,GA,2021-12-28 08:31:58,-3.432,10.6554,77.31,86,99,2.3,light rain
172,Goderich,CA,2021-12-28 08:30:26,43.7501,-81.7165,38.91,70,89,21.85,overcast clouds
173,Severo-Kurilsk,RU,2021-12-28 08:31:58,50.6789,156.125,30.36,91,98,11.61,light snow
174,Songjianghe,CN,2021-12-28 08:31:59,42.1859,127.479,9.39,84,1,5.75,clear sky
175,Viesca,MX,2021-12-28 08:31:59,25.35,-102.8,66.07,27,0,7.67,clear sky
176,Nanortalik,GL,2021-12-28 08:32:00,60.1432,-45.2371,24.04,65,6,7.47,clear sky
177,Lorengau,PG,2021-12-28 08:32:00,-2.0226,147.2712,82.62,79,99,7.07,overcast clouds
178,Ca Mau,VN,2021-12-28 08:32:01,9.1769,105.15,83.5,69,100,10.31,overcast clouds
179,Bambous Virieux,MU,2021-12-28 08:32:01,-20.3428,57.7575,84.45,70,40,8.05,scattered clouds
180,Gat,IL,2021-12-28 08:29:04,31.61,34.7642,60.91,100,100,4.9,overcast clouds
181,Lai,TD,2021-12-28 08:32:02,9.3952,16.2989,82.94,16,100,8.12,overcast clouds
182,Zhigansk,RU,2021-12-28 08:33:02,66.7697,123.3711,-21.78,98,69,10.27,broken clouds
183,Hofn,IS,2021-12-28 08:33:03,64.2539,-15.2082,29.64,66,2,17.52,clear sky
184,Mereni,RO,2021-12-28 08:33:03,44.05,28.3667,32.02,80,96,10.4,overcast clouds
185,Saskylakh,RU,2021-12-28 08:33:04,71.9167,114.0833,-32.19,100,92,1.54,overcast clouds
186,Pitimbu,BR,2021-12-28 08:33:04,-7.4706,-34.8086,77.59,78,26,11.03,scattered clouds
187,Amahai,ID,2021-12-28 08:33:04,-3.3333,128.9167,78.84,81,100,5.61,overcast clouds
188,Victoria,HK,2021-12-28 08:32:13,22.2855,114.1577,66.18,75,27,5.01,scattered clouds
189,Mar Del Plata,AR,2021-12-28 08:29:18,-38.0023,-57.5575,67.08,85,0,1.99,clear sky
190,Saint Anthony,US,2021-12-28 08:31:05,45.0205,-93.218,9.55,75,1,1.99,clear sky
191,Belaya Gora,RU,2021-12-28 08:33:05,68.5333,146.4167,-39.69,100,98,2.82,overcast clouds
192,Westport,US,2021-12-28 08:33:06,41.1415,-73.3579,41.76,94,90,1.01,mist
